"Data S1. Repartition of the calls according to animal identity (ID), species, call type, emotional valence, context of vocal production, and their respective number of occurrences, along with references to original studies. Related to STAR Methods.",col_1,col_2,col_3,col_4,col_5,col_6
Animal ID,Species,Call type,Valence,Context,Nb of calls,Reference
99006,,,Positive,Food anticipation,1,
99009,,,Negative,Short social isolation in familiar pen,2,
99010,,,Negative,Food frustration,3,
99010,,,Negative,Short social isolation in familiar pen,1,
99010,,,Positive,Food anticipation,2,
99012,,,Negative,Food frustration,1,
99012,,,Negative,Short social isolation in familiar pen,1,
99016,,,Negative,Food frustration,7,
99016,,,Positive,Food anticipation,1,
99017,,,Negative,Food frustration,12,
99017,,,Negative,Short social isolation in familiar pen,6,
99017,,,Positive,Food anticipation,8,
99018,,,Negative,Food frustration,6,
99018,,,Negative,Short social isolation in familiar pen,4,
99018,,,Positive,Food anticipation,5,
99022,,,Negative,Food frustration,3,
99022,,,Negative,Short social isolation in familiar pen,1,
99022,,,Positive,Food anticipation,4,
99030,,,Negative,Food frustration,17,
99030,,,Negative,Short social isolation in familiar pen,149,
99030,,,Positive,Food anticipation,54,
99034,,,Negative,Food frustration,9,
99034,,,Negative,Short social isolation in familiar pen,2,
99034,,,Positive,Food anticipation,4,
99040,,,Negative,Short social isolation in familiar pen,1,
99040,,,Positive,Food anticipation,4,
99046,,,Negative,Food frustration,1,
99058,,,Negative,Short social isolation in familiar pen,5,
99058,,,Positive,Food anticipation,2,
99062,,,Negative,Food frustration,6,
99062,,,Positive,Food anticipation,3,
99066,,,Negative,Short social isolation in familiar pen,2,
99067,,,Negative,Short social isolation in familiar pen,1,
99070,,,Negative,Food frustration,8,
99070,,,Negative,Short social isolation in familiar pen,1,
99071,,,Negative,Short social isolation in familiar pen,8,
99071,,,Positive,Food anticipation,2,
99001,Horse,Whinnies,Negative,Separation from one group member,4,"Briefer, E.F., Maigrot, A.L., Mandel, R., Freymond, S.B., Bachmann, I., and Hillmann, E. (2015). Segregation of information about emotional arousal and valence in horse whinnies. Sci. Rep., 5, 9989"
99001,,,Positive,Reunion with one group member,3,
99001,,,Positive,Reunion with the whole group,2,
99002,,,Negative,Separation from the whole group,3,
99002,,,Positive,Reunion with the whole group,1,
99004,,,Negative,Separation from one group member,5,
99004,,,Negative,Separation from the whole group,3,
99004,,,Positive,Reunion with one group member,3,
99004,,,Positive,Reunion with the whole group,11,
99005,,,Positive,Reunion with one group member,1,
99019,,,Negative,Separation from one group member,11,
99019,,,Negative,Separation from the whole group,19,
99019,,,Positive,Reunion with one group member,1,
99019,,,Positive,Reunion with the whole group,6,
99021,,,Negative,Separation from one group member,1,
99021,,,Negative,Separation from the whole group,6,
99021,,,Positive,Reunion with one group member,1,
99021,,,Positive,Reunion with the whole group,10,
99032,,,Negative,Separation from one group member,1,
99032,,,Negative,Separation from the whole group,8,
99032,,,Positive,Reunion with the whole group,4,
99033,,,Negative,Separation from one group member,10,
99033,,,Negative,Separation from the whole group,6,
99033,,,Positive,Reunion with one group member,1,
99042,,,Negative,Separation from one group member,11,
99042,,,Negative,Separation from the whole group,11,
99042,,,Positive,Reunion with one group member,1,
